Project;Package;Class;Method;Version;LOC;Statement;Cyclomatic;Cognitive;MethodHistories;AddedLines;MaxAddedLines;AvgAddedLines;DeletedLines;MaxDeletedLines;AvgDeletedLines;Churn;MaxChurn;AvgChurn;BranchPoints;NestingDepth;ParametersCount;Buggy
BOOKKEEPER;org.apache.hedwig.protocol;Builder;mergeConsumeRequest;4.0.0;6;5;3;2;1;10;10;10,00;0;0;0,00;10;10;10,00;2;3;1;true
BOOKKEEPER;org.apache.hedwig.protocol;Builder;mergeConsumeRequest;4.1.0;6;5;3;2;0;0;0;0,00;0;0;0,00;0;0;0,00;2;3;1;true
BOOKKEEPER;org.apache.hedwig.protocol;Builder;mergeConsumeRequest;4.1.1;10;8;4;4;1;11;11;11,00;0;0;0,00;11;11;11,00;3;5;1;false
BOOKKEEPER;org.apache.hedwig.protocol;Builder;mergeConsumeRequest;4.2.0;10;8;4;4;0;0;0;0,00;0;0;0,00;0;0;0,00;3;5;1;true
BOOKKEEPER;org.apache.hedwig.protocol;Builder;mergeConsumeRequest;4.2.1;10;8;4;4;0;0;0;0,00;0;0;0,00;0;0;0,00;3;5;1;true
BOOKKEEPER;org.apache.hedwig.server.delivery;HashMapSubscriberFactory;newInstance;4.0.0;1;1;1;0;4;3;3;0,75;0;0;0,00;3;3;0,75;0;1;0;true
BOOKKEEPER;org.apache.hedwig.server.delivery;HashMapSubscriberFactory;newInstance;4.1.0;1;1;1;0;2;0;0;0,00;0;0;0,00;0;0;0,00;0;1;0;true
BOOKKEEPER;org.apache.hedwig.server.delivery;HashMapSubscriberFactory;newInstance;4.1.1;1;1;1;0;14;0;0;0,00;0;0;0,00;0;0;0,00;0;1;0;false
BOOKKEEPER;org.apache.hedwig.server.delivery;HashMapSubscriberFactory;newInstance;4.2.0;1;1;1;0;0;0;0;0,00;0;0;0,00;0;0;0,00;0;1;0;true
BOOKKEEPER;org.apache.hedwig.server.delivery;HashMapSubscriberFactory;newInstance;4.2.1;1;1;1;0;3;0;0;0,00;0;0;0,00;0;0;0,00;0;1;0;true
